	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
174	6.5203e-002	-0.16666	
175	6.5577e-002	-0.16242	
176	6.5974e-002	-0.15775	
177	6.6382e-002	-0.15284	
178	6.6793e-002	-0.14793	
179	6.6999e-002	-0.14552	
180	6.7244e-002	-0.14272	
181	6.7519e-002	-0.13967	
182	6.7819e-002	-0.13654	
183	6.8137e-002	-0.13346	
184	6.8467e-002	-0.13058	
185	6.8805e-002	-0.12802	
186	6.915e-002	-0.12586	
187	6.9498e-002	-0.12418	
188	6.9848e-002	-0.12306	
189	7.0199e-002	-0.12253	
190	7.0552e-002	-0.12264	
191	7.0905e-002	-0.12341	
192	7.1258e-002	-0.12487	
193	7.1611e-002	-0.12702	
194	7.1966e-002	-0.12988	
195	7.2321e-002	-0.13345	
196	7.2677e-002	-0.13772	
197	7.3035e-002	-0.14269	
198	7.3395e-002	-0.14834	
199	7.3758e-002	-0.15465	
200	7.4123e-002	-0.16159	
201	7.4491e-002	-0.16914	
202	7.4864e-002	-0.17725	
203	7.5242e-002	-0.18587	
204	7.5625e-002	-0.19496	
205	7.6014e-002	-0.20444	
206	7.6412e-002	-0.21426	
207	7.6818e-002	-0.22432	
208	7.7235e-002	-0.23454	
209	7.7664e-002	-0.24483	
210	7.8109e-002	-0.25508	
211	7.8572e-002	-0.26518	
212	7.9058e-002	-0.27502	
213	7.9575e-002	-0.28451	
214	8.0134e-002	-0.29355	
215	8.0759e-002	-0.30215	
216	8.1511e-002	-0.31056	
217	8.2322e-002	-0.31767	
218	8.2728e-002	-0.32067	
219	8.3161e-002	-0.32361	
220	8.3611e-002	-0.32652	
221	8.4066e-002	-0.32945	
222	8.4294e-002	-0.33094	
223	8.4565e-002	-0.33277	
224	8.4868e-002	-0.33492	
225	8.5198e-002	-0.33739	
226	8.5546e-002	-0.34016	
227	8.5906e-002	-0.34324	
228	8.6274e-002	-0.34659	
229	8.6645e-002	-0.35019	
230	8.7019e-002	-0.35398	
231	8.7393e-002	-0.35789	
232	8.758e-002	-0.35988	
233	8.7805e-002	-0.3623	
234	8.8063e-002	-0.36505	
235	8.8347e-002	-0.36806	
236	8.8652e-002	-0.37121	
237	8.8974e-002	-0.3744	
238	8.931e-002	-0.37754	
239	8.9657e-002	-0.38052	
240	9.0016e-002	-0.38325	
241	9.0386e-002	-0.38565	
242	9.0768e-002	-0.38763	
243	9.1164e-002	-0.38911	
244	9.1578e-002	-0.39001	
245	9.2017e-002	-0.39024	
246	9.2494e-002	-0.38966	
247	9.3048e-002	-0.388	
248	9.3675e-002	-0.38501	
249	9.3988e-002	-0.38317	
250	9.4339e-002	-0.3809	
251	9.4714e-002	-0.37831	
252	9.5103e-002	-0.37552	
253	9.5497e-002	-0.37267	
254	9.5893e-002	-0.3699	
255	9.6091e-002	-0.36858	
256	9.6326e-002	-0.36708	
257	9.6593e-002	-0.3655	
258	9.6883e-002	-0.36396	
259	9.7192e-002	-0.36256	
260	9.7514e-002	-0.36139	
